Product Name;Category;Price (€);Quantity Sold;Revenue Total;Transaction Date;Country ;Store-ID;Duplicate Col;Duplicate Col 
;Food;1002,56;25;3209,69;;Portugal;;X;X
Product 1;Food;696;;;2024-10-13;;;X;X
Product 2;Snack;4620,87;;1,229.92;2024/01/24;Portugal;;X;X
Product 3;Drink;1178,09;NaN;1,883.59;2024-03-31;Germany;S-26;X;X
Product 4;Drink;4028,31;;2,425.77;29/07/2021;France;S-45;X;X
Product 5;Drink;1729,23;;4549;01-07-2023;;S-46;X;X
Product 6;Food;4749,54;NaN;2,115.36;2019-03-11;;;X;X
Product 7;Food;;;;10/01/2022;France;;X;X
Product 8;;4733;;3,729.43;2023/07/14;France;S-37;X;X
Product 9;Food;3616,65;75;2,146.61;27-02-2018;;;X;X
Product 10;Food;178.00;NaN;;17-04-2020;Germany;S-35;X;X
Product 11;Food;;50;;06/12/2018;France;;X;X
Product 12;Drink;2,387.96;;977.41;2020-02-07;Germany;S-44;X;X
Product 13;Drink;107,22;50;3,456.05;2021-05-29;;S-31;X;X
Product 14;Food;131.77;;4,731.72;18/06/2022;Germany;;X;X
;Drink;;50;;29/10/2019;Germany;;X;X
Product 16;;3409,71;NaN;830.88;05-03-2020;France;;X;X
Product 17;Drink;2762,48;;828.77;2019-12-06;Germany;S-15;X;X
Product 18;;;56;4,730.72;09-07-2024;Germany;;X;X
Product 19;Snack;;99;983,97;2024-04-25;;;X;X
Product 20;Food;3,506.69;NaN;984;;;;X;X
Product 21;Drink;577,92;67;883.01;2019-03-04;;S-11;X;X
Product 22;;4485;;1087,35;2020-05-18;France;;X;X
Product 23;Snack;1758;NaN;;29/04/2023;France;;X;X
Product 24;Snack;2182,62;NaN;3408;19-09-2022;France;;X;X
Product 25;Drink;1190,85;;4596,85;04-01-2019;;;X;X
Product 26;Drink;2,943.09;84;4387,24;2023-02-18;;S-21;X;X
Product 27;Snack;2065,33;;4993;27-06-2024;Germany;;X;X
Product 28;Food;4954,69;;372;12-08-2024;France;;X;X
Product 29;Food;4,366.28;;1,691.97;29-08-2024;;S-33;X;X
;;4063,11;;927.62;2023-11-18;Germany;S-32;X;X
Product 31;Food;;;1258;09/04/2022;France;;X;X
Product 32;Snack;902,97;6;1939,35;02-07-2022;France;;X;X
Product 33;Snack;1,570.63;;2,612.01;2023-06-29;Germany;S-9;X;X
Product 34;Snack;4,990.44;64;2,876.41;2021-01-14;Germany;S-15;X;X
Product 35;Food;;27;4525;11/11/2022;Portugal;;X;X
Product 36;;3287,91;92;;2022/07/26;;;X;X
Product 37;Food;381.89;42;4,544.39;06-07-2024;Germany;S-28;X;X
Product 38;;2474;36;;2018-06-18;France;;X;X
Product 39;Food;4,488.20;;1391;29/12/2022;;;X;X
Product 40;Snack;2217;;4615;;;S-36;X;X
Product 41;Snack;4707;;2,764.08;2019-10-24;;S-19;X;X
Product 42;Drink;4,344.85;5;;20-07-2019;Germany;;X;X
Product 43;Food;2634;;2542;27/10/2018;France;;X;X
Product 44;Food;1594,29;NaN;3938,82;2018/12/15;;;X;X
;Drink;;;3656,83;21-05-2019;France;;X;X
Product 46;Snack;;;1701,73;19-03-2018;Portugal;;X;X
Product 47;Food;1,398.92;;2896;22-09-2019;Portugal;;X;X
Product 48;Drink;4,560.25;24;;2020-06-15;France;;X;X
Product 49;Food;1,524.70;47;1807;23-10-2022;;S-14;X;X
Product 50;;613.74;44;295.98;2020/04/12;France;;X;X
Product 51;Snack;179.34;NaN;;13/05/2024;Germany;;X;X
Product 52;;;NaN;645.55;2024/03/19;Portugal;;X;X
Product 53;Snack;4765,22;;3,705.29;15-08-2019;Portugal;;X;X
Product 54;Drink;2494,54;26;;23-06-2023;;;X;X
Product 55;Snack;;NaN;;13-01-2019;Portugal;;X;X
Product 56;Snack;1502,06;NaN;4369,88;2023/08/11;France;S-24;X;X
Product 57;Drink;;;2787;2018/02/08;Germany;;X;X
Product 58;Snack;;53;2514;2021/05/14;;S-24;X;X
Product 59;Food;1923,32;NaN;;08/04/2019;Germany;;X;X
;Drink;;80;1425;;;S-27;X;X
Product 61;Drink;;NaN;840,94;12-03-2018;;S-44;X;X
Product 62;Drink;2662;20;1,344.39;10/03/2019;Portugal;S-36;X;X
Product 63;;156;20;;27-03-2022;;;X;X
Product 64;;4686;NaN;4347,20;16-10-2020;;;X;X
Product 65;Snack;4613;92;;2018-02-21;Portugal;;X;X
Product 66;Drink;4,051.22;NaN;2,856.88;2021/01/12;France;;X;X
Product 67;Snack;3786;11;2290,37;20-08-2023;Portugal;;X;X
Product 68;Food;;;3731;2023-06-06;Germany;;X;X
Product 69;Drink;4328,71;NaN;4093;12/02/2022;;;X;X
Product 70;Food;;NaN;4014;2023-07-11;Germany;;X;X
Product 71;Snack;4762;;4461,55;2019/08/19;Germany;;X;X
Product 72;;;NaN;3979,91;06/09/2024;Germany;;X;X
Product 73;Snack;2119;;4460;2020-05-30;Portugal;;X;X
Product 74;Food;;NaN;;17-08-2024;Portugal;;X;X
;Drink;2,336.66;NaN;889;26/06/2024;Germany;;X;X
Product 76;Snack;659,36;;4,892.28;16-09-2022;France;S-21;X;X
Product 77;Drink;1403;89;;25/12/2020;France;S-20;X;X
Product 78;;427.68;NaN;2228,49;2019/04/27;Germany;;X;X
Product 79;;3856;;3929;2018-10-05;;;X;X
